respondent_id,first_name,last_name,email,segment,age,city,purchase_frequency_per_month,monthly_beverage_spend_eur,price_sensitivity_1_10,preferred_channel,aware_pulsup,aware_matelibre,aware_voltfit,aware_rootandrise,lumen_purchase_intent_1_10
377,Ida,Koch,ida.koch377@example.com,Students & Budget-Conscious,23,Other Germany,6.3,21.93,8.5,Retail/Grocery,1,0,1,0,3.9
378,Max,Braun,max.braun378@example.com,Students & Budget-Conscious,21,Berlin,4.2,21.82,7.2,DTC Online,1,0,0,0,3.7
379,Lina,Wagner,lina.wagner379@example.com,Students & Budget-Conscious,24,Other Germany,6.8,17.8,6.1,Retail/Grocery,1,0,0,0,4.9
380,Marie,Braun,marie.braun380@example.com,Urban Wellness Professionals,35,Other Germany,7.6,29.0,3.0,Retail/Grocery,1,1,0,1,10
381,Mia,Klein,mia.klein381@example.com,Urban Wellness Professionals,28,Munich,7.5,17.77,2.2,DTC Online,0,1,1,0,10
382,Marie,Peters,marie.peters382@example.com,Fitness & Gym-Goers,31,Frankfurt,5.2,15.96,5.2,Retail/Grocery,0,1,1,0,5.9
383,Clara,Fischer,clara.fischer383@example.com,Students & Budget-Conscious,21,Berlin,4.0,9.91,6.4,Retail/Grocery,1,1,1,0,4.8
384,Lea,Braun,lea.braun384@example.com,Fitness & Gym-Goers,18,Other Germany,6.5,18.63,4.2,Retail/Grocery,1,0,0,0,8.2
385,Paul,Fischer,paul.fischer385@example.com,On-the-go Commuters,38,Other Germany,5.4,10.23,4.4,Gym & Office,1,0,0,1,7.5
386,Elias,Weber,elias.weber386@example.com,Fitness & Gym-Goers,29,Berlin,9.2,15.89,5.7,Gym & Office,1,0,1,0,8.6
387,Paul,Zimmermann,paul.zimmermann387@example.com,Students & Budget-Conscious,21,Other Germany,9.7,12.45,10,Retail/Grocery,1,0,0,0,3.5
388,Jonas,Braun,jonas.braun388@example.com,On-the-go Commuters,27,Berlin,3.3,24.95,7.6,Retail/Grocery,1,0,0,0,4.9
389,Ben,Lange,ben.lange389@example.com,Urban Wellness Professionals,25,Frankfurt,12.0,22.27,3.1,DTC Online,0,1,0,0,9.8
390,Sofia,Braun,sofia.braun390@example.com,Students & Budget-Conscious,23,Other Germany,5.5,15.57,6.4,DTC Online,1,0,0,0,5.6
391,Leon,Weber,leon.weber391@example.com,Fitness & Gym-Goers,19,Other Germany,7.5,12.82,4.0,Gym & Office,0,0,1,1,9.3
392,Ida,Richter,ida.richter392@example.com,On-the-go Commuters,48,Munich,6.2,18.59,7.4,Gym & Office,0,0,1,1,6.3
393,Max,Richter,max.richter393@example.com,Urban Wellness Professionals,33,Munich,8.9,22.94,3.3,Gym & Office,0,0,1,1,7.8
394,Nora,Schmidt,nora.schmidt394@example.com,On-the-go Commuters,32,Cologne,6.9,28.59,5.7,Retail/Grocery,1,0,0,0,9.6
395,Paul,Schmidt,paul.schmidt395@example.com,Urban Wellness Professionals,30,Munich,5.3,27.77,2.1,DTC Online,1,0,0,1,10
396,Lea,Lange,lea.lange396@example.com,Urban Wellness Professionals,37,Cologne,7.0,28.84,3.6,Retail/Grocery,0,0,1,0,8.9
397,Sofia,Wolf,sofia.wolf397@example.com,Fitness & Gym-Goers,31,Other Germany,10.0,20.45,5.2,Gym & Office,0,1,1,0,10
398,Anna,Weber,anna.weber398@example.com,Urban Wellness Professionals,30,Munich,6.9,25.26,3.6,DTC Online,1,1,1,1,10
399,Emma,Wagner,emma.wagner399@example.com,Students & Budget-Conscious,22,Other Germany,4.1,19.04,7.8,DTC Online,0,0,0,0,4.9
400,Mia,Braun,mia.braun400@example.com,Fitness & Gym-Goers,26,Munich,5.0,7.41,6.4,Retail/Grocery,1,1,1,0,8.8
401,Sofia,Richter,sofia.richter401@example.com,Urban Wellness Professionals,35,Other Germany,7.8,26.8,3.7,DTC Online,0,1,1,1,9.5
402,Sofia,Wagner,sofia.wagner402@example.com,Fitness & Gym-Goers,21,Other Germany,6.2,18.14,6.0,Gym & Office,1,0,1,1,5.0
403,Clara,Weber,clara.weber403@example.com,Urban Wellness Professionals,29,Other Germany,8.0,20.19,1,Retail/Grocery,0,0,1,1,10
404,Ida,Peters,ida.peters404@example.com,On-the-go Commuters,49,Cologne,4.7,15.54,7.1,DTC Online,0,1,0,0,4.7
405,Elias,Schulz,elias.schulz405@example.com,Students & Budget-Conscious,21,Other Germany,5.4,13.6,8.2,DTC Online,0,0,0,1,5.9
406,Emma,Weber,emma.weber406@example.com,Fitness & Gym-Goers,24,Berlin,3.8,18.56,5.2,Retail/Grocery,1,0,0,0,8.1
407,Marie,Schmidt,marie.schmidt407@example.com,On-the-go Commuters,26,Hamburg,7.1,16.43,5.3,Gym & Office,0,0,0,0,5.6
408,Anna,Krueger,anna.krueger408@example.com,Students & Budget-Conscious,23,Berlin,2.7,15.1,9.5,Retail/Grocery,1,0,0,1,6.7
409,Finn,Wagner,finn.wagner409@example.com,Fitness & Gym-Goers,20,Other Germany,7.5,25.51,3.2,Gym & Office,0,0,1,0,10
410,Marie,Schulz,marie.schulz410@example.com,On-the-go Commuters,43,Frankfurt,3.2,17.76,6.2,Retail/Grocery,1,0,0,0,7.2
411,Max,Schwarz,max.schwarz411@example.com,On-the-go Commuters,26,Berlin,5.7,18.93,6.0,Retail/Grocery,1,0,0,0,6.7
412,Lea,Schulz,lea.schulz412@example.com,On-the-go Commuters,49,Cologne,6.9,14.54,6.6,Retail/Grocery,1,0,0,0,6.7
413,Paul,Zimmermann,paul.zimmermann413@example.com,Students & Budget-Conscious,24,Other Germany,4.5,20.85,9.0,Retail/Grocery,1,0,0,0,6.0
414,Lukas,Schulz,lukas.schulz414@example.com,On-the-go Commuters,46,Munich,6.4,26.1,6.6,Retail/Grocery,1,0,1,0,3.6
415,Lina,Schmidt,lina.schmidt415@example.com,Students & Budget-Conscious,20,Hamburg,5.3,12.96,8.3,Retail/Grocery,1,1,1,0,5.0
416,Marie,Koch,marie.koch416@example.com,Fitness & Gym-Goers,31,Munich,4.4,28.03,5.7,DTC Online,1,1,1,0,9.2
417,Max,Braun,max.braun417@example.com,On-the-go Commuters,29,Munich,7.5,15.1,6.5,Retail/Grocery,1,1,1,0,6.7
418,Lina,Zimmermann,lina.zimmermann418@example.com,Students & Budget-Conscious,18,Other Germany,6.3,22.13,8.6,Gym & Office,1,0,1,0,3.7
419,Nora,Krueger,nora.krueger419@example.com,On-the-go Commuters,27,Hamburg,4.6,12.16,6.6,Retail/Grocery,1,0,1,0,6.6
420,Ida,Weber,ida.weber420@example.com,Students & Budget-Conscious,22,Other Germany,5.4,26.96,7.7,Retail/Grocery,1,1,0,0,5.4
